Gene,Description,A11.C636,A11,E9,HAP1.C597,KBM7
SRP9,signal recognition particle 9kDa,14.83,8.01,8.07,14.07,9.68
SRPK2,SRSF protein kinase 2,0.44,0.36,0.35,0.45,0.35
SRPR,signal recognition particle receptor (docking protein),27.38,22.47,21.06,28.90,23.01
SRRM1,serine/arginine repetitive matrix 1,6.30,7.84,7.88,6.39,5.48
SRRM2,serine/arginine repetitive matrix 2,48.15,69.43,71.58,46.32,45.09
SRRM3,serine/arginine repetitive matrix 3,0.21,0.18,0.16,0.20,0.09
SRRM4,serine/arginine repetitive matrix 4,0.00,0.00,0.00,0.00,0.00
SRRT,serrate RNA effector molecule homolog (Arabidopsis),22.03,28.68,29.30,21.85,11.14
SRSF1,serine/arginine-rich splicing factor 1,153.54,145.83,152.22,151.78,93.97
SRSF10,"cDNA FLJ30749 fis, clone FEBRA2000402, highly similar to FUS-interacting serine-arginine-rich protein 1; cDNA FLJ43846 fis, clone TESTI4006393, highly similar to FUS-interacting serine-arginine-rich protein 1 ",16.60,16.31,16.99,15.45,15.13
SRSF11,serine/arginine-rich splicing factor 11,11.57,11.09,11.98,11.94,10.24
SRSF12,serine/arginine-rich splicing factor 12,0.86,0.54,0.49,0.89,0.51
SRSF2,serine/arginine-rich splicing factor 2,137.08,117.78,123.93,131.83,87.35
SRSF3,serine/arginine-rich splicing factor 3,34.75,29.98,31.11,34.08,20.82
SRSF4,serine/arginine-rich splicing factor 4,4.37,4.77,4.97,4.50,2.98
SRSF5,serine/arginine-rich splicing factor 5,42.05,47.99,53.22,42.06,66.24
SRSF6,serine/arginine-rich splicing factor 6,43.40,39.47,38.83,42.23,31.00
SRSF7,serine/arginine-rich splicing factor 7,42.41,34.13,33.13,41.27,23.89
SRSF8,serine/arginine-rich splicing factor 8,14.98,11.84,11.69,14.83,13.37
SRSF9,serine/arginine-rich splicing factor 9,27.24,21.11,21.46,27.24,20.71
SSB,Sjogren syndrome antigen B (autoantigen La),26.50,21.29,22.20,26.34,13.90
SSU72,SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae),4.61,4.24,4.05,4.20,3.44
STAU1,"staufen, RNA binding protein, homolog 1 (Drosophila)",3.10,2.84,2.78,3.03,1.26
STAU2,"staufen, RNA binding protein, homolog 2 (Drosophila)",0.29,0.24,0.23,0.29,0.52
STRAP,serine/threonine kinase receptor associated protein,12.82,10.90,10.21,12.26,5.38
STRBP,spermatid perinuclear RNA binding protein,0.53,0.42,0.40,0.54,0.60
SUB1,SUB1 homolog (S. cerevisiae),10.34,6.88,6.06,9.97,9.76
SUGP1,SURP and G patch domain containing 1,1.01,1.26,1.39,1.00,0.87
SUGP2,SURP and G patch domain containing 2,4.82,5.60,5.59,4.85,5.18
SUPT4H1,suppressor of Ty 4 homolog 1 (S. cerevisiae),9.30,8.56,8.46,9.66,7.65
SUPT5H,suppressor of Ty 5 homolog (S. cerevisiae),6.88,7.80,7.90,6.79,3.90
SUPT6H,suppressor of Ty 6 homolog (S. cerevisiae),5.27,6.00,5.92,5.43,3.17
SUPV3L1,"suppressor of var1, 3-like 1 (S. cerevisiae)",2.24,1.89,1.95,2.27,1.57
SURF6,surfeit 6,10.76,12.51,13.76,10.91,7.96
SUZ12,SUZ12 polycomb repressive complex 2 subunit,2.05,1.44,1.32,2.05,1.74
SWT1,SWT1 RNA endoribonuclease homolog (S. cerevisiae),0.27,0.21,0.21,0.25,0.39
SYF2,"SYF2 homolog, RNA splicing factor (S. cerevisiae)",3.68,3.22,3.69,3.59,5.70
SYMPK,symplekin,2.65,3.07,3.13,2.62,2.29
SYNCRIP,"synaptotagmin binding, cytoplasmic RNA interacting protein",13.61,11.46,10.93,13.28,8.35
TAF15,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa",9.10,8.78,9.88,8.53,7.86
TAF9,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa",16.55,10.99,9.69,16.06,15.43
TARBP2,TAR (HIV-1) RNA binding protein 2,8.27,9.08,9.27,7.86,4.65
TARDBP,TAR DNA binding protein,31.25,25.95,27.52,29.68,19.24
TARS,threonyl-tRNA synthetase,15.34,12.65,11.27,13.83,8.72
TARS2,"threonyl-tRNA synthetase 2, mitochondrial (putative)",3.23,3.49,3.35,3.29,2.48
TARSL2,threonyl-tRNA synthetase-like 2,0.39,0.38,0.44,0.45,0.22
TBL3,transducin (beta)-like 3,2.00,2.72,2.72,1.84,1.56
TBRG4,transforming growth factor beta regulator 4,13.26,12.42,12.76,12.31,8.15
TCERG1,transcription elongation regulator 1,3.28,3.41,3.52,3.23,3.21
TCOF1,Treacher Collins-Franceschetti syndrome 1,7.77,7.74,8.62,7.60,3.68
TDRD1,tudor domain containing 1,0.00,0.00,0.00,0.00,0.00
TDRD10,tudor domain containing 10,0.00,0.00,0.00,0.00,0.00
TDRD12,tudor domain containing 12,0.00,0.00,0.00,0.00,0.00
TDRD3,tudor domain containing 3,0.15,0.14,0.12,0.13,0.09
TDRD5,tudor domain containing 5,0.00,0.00,0.00,0.00,0.00
TDRD6,tudor domain containing 6,0.00,0.01,0.00,0.00,0.00
TDRD7,tudor domain containing 7,0.35,0.26,0.14,0.29,0.19
TDRD9,tudor domain containing 9,0.01,0.00,0.00,0.01,0.65
TDRKH,tudor and KH domain containing,1.08,0.83,0.77,1.21,0.58
TEFM,"transcription elongation factor, mitochondrial",2.90,1.78,1.58,2.71,1.92
TEP1,telomerase-associated protein 1,0.34,0.34,0.31,0.29,0.59
TERT,telomerase reverse transcriptase,0.49,0.69,0.90,0.48,0.16
TFAM,"transcription factor A, mitochondrial",9.75,6.48,6.74,9.02,4.95
TFB1M,"transcription factor B1, mitochondrial",0.24,0.20,0.22,0.24,0.28
TFB2M,"transcription factor B2, mitochondrial",1.31,0.81,0.87,1.16,1.20
TFIP11,tuftelin interacting protein 11,3.15,3.14,2.95,3.21,2.74
TGS1,trimethylguanosine synthase 1,1.65,1.31,1.12,1.66,2.16
THG1L,tRNA-histidine guanylyltransferase 1-like (S. cerevisiae),2.19,2.22,1.98,2.16,2.39
THOC1,THO complex 1,1.18,1.16,1.12,1.10,1.06
THOC2,THO complex 2,2.06,1.85,1.81,1.94,2.32
THOC3,THO complex 3,3.24,3.39,3.18,3.22,3.80
THOC5,THO complex 5,1.21,1.20,1.30,1.22,0.81
THOC6,THO complex 6 homolog (Drosophila),10.86,13.29,13.99,10.90,9.13
THOC7,THO complex 7 homolog (Drosophila),1.98,1.45,1.50,1.89,2.25
THRAP3,thyroid hormone receptor associated protein 3,3.40,3.77,3.82,3.48,2.62
THUMPD1,THUMP domain containing 1,7.27,6.67,6.39,6.88,7.28
THUMPD2,THUMP domain containing 2,0.69,0.58,0.44,0.70,0.60
THUMPD3,THUMP domain containing 3,3.81,2.81,2.73,3.51,2.03
TIA1,TIA1 cytotoxic granule-associated RNA binding protein,2.95,2.36,2.39,2.93,3.39
TIAL1,TIA1 cytotoxic granule-associated RNA binding protein-like 1,4.96,4.33,4.45,4.79,4.60
TIPARP,TCDD-inducible poly(ADP-ribose) polymerase,1.47,0.87,0.62,1.42,0.98
TLR3,toll-like receptor 3,0.03,0.01,0.00,0.01,0.04
TLR7,toll-like receptor 7,0.00,0.00,0.00,0.00,0.00
TLR8,toll-like receptor 8,0.00,0.00,0.00,0.00,0.00
TNPO1,transportin 1,3.30,2.26,2.02,3.02,1.76
TNPO2,transportin 2,10.05,11.13,11.17,10.49,5.28
TNPO3,transportin 3,1.64,1.33,1.25,1.71,1.04
TNRC6A,trinucleotide repeat containing 6A,1.50,1.44,1.40,1.52,0.70
TNRC6B,trinucleotide repeat containing 6B,0.17,0.18,0.16,0.18,0.07
TNRC6C,trinucleotide repeat containing 6C,0.19,0.23,0.22,0.16,0.19
TOE1,"target of EGR1, member 1 (nuclear)",8.63,9.48,9.21,8.40,4.25
TOP1,topoisomerase (DNA) I,3.35,3.17,2.84,3.17,1.14
TOP3B,topoisomerase (DNA) III beta,1.62,1.95,2.07,1.46,0.90
TPR,"translocated promoter region, nuclear basket protein",4.24,4.20,3.69,4.24,3.72
TRA2A,transformer 2 alpha homolog (Drosophila),4.66,4.13,4.05,4.42,2.80
TRA2B,transformer 2 beta homolog (Drosophila),4.59,5.40,5.70,4.59,3.83
TRDMT1,tRNA aspartic acid methyltransferase 1,0.13,0.10,0.11,0.14,0.12
TRIM21,tripartite motif containing 21,2.81,2.86,1.74,2.56,2.21
TRIM25,tripartite motif containing 25,7.31,6.69,4.96,6.87,4.73
TRIM56,tripartite motif containing 56,1.12,1.10,1.58,1.25,3.17
TRIM71,"TRIM71 tripartite motif containing 71, E3 ubiquitin protein ligase [ Homo sapiens (human) ]",0.41,0.35,0.47,0.39,0.19
TRIT1,tRNA isopentenyltransferase 1,1.11,0.85,0.99,1.03,0.97
TRMT1,tRNA methyltransferase 1 homolog (S. cerevisiae),6.41,8.35,9.21,5.63,6.82
TRMT10A,tRNA methyltransferase 10 homolog A (S. cerevisiae),0.80,0.71,0.57,0.83,0.38
TRMT10B,tRNA methyltransferase 10 homolog B (S. cerevisiae),0.76,0.81,0.76,0.64,0.83
TRMT10C,tRNA methyltransferase 10 homolog C (S. cerevisiae),17.22,9.80,8.21,17.42,10.30
TRMT11,tRNA methyltransferase 11 homolog (S. cerevisiae),0.73,0.55,0.50,0.72,0.94
TRMT112,tRNA methyltransferase 11-2 homolog (S. cerevisiae),140.51,129.58,148.34,147.33,83.14
TRMT12,tRNA methyltransferase 12 homolog (S. cerevisiae),6.33,5.34,5.41,5.68,15.11
TRMT13,tRNA methyltransferase 13 homolog (S. cerevisiae),1.17,0.73,0.78,1.00,0.69
TRMT1L,tRNA methyltransferase 1 homolog (S. cerevisiae)-like,1.24,0.81,0.81,1.20,0.62
TRMT2A,tRNA methyltransferase 2 homolog A (S. cerevisiae),8.14,9.64,10.33,8.22,6.77
TRMT2B,tRNA methyltransferase 2 homolog B (S. cerevisiae),1.11,0.87,0.76,0.97,1.18
TRMT44,tRNA methyltransferase 44 homolog (S. cerevisiae),0.39,0.35,0.34,0.38,0.32
TRMT5,tRNA methyltransferase 5 homolog (S. cerevisiae),4.78,3.46,3.04,4.58,3.42
TRMT6,tRNA methyltransferase 6 homolog (S. cerevisiae),6.27,5.49,5.77,6.35,2.36
TRMT61A,tRNA methyltransferase 61 homolog A (S. cerevisiae),3.81,5.30,5.89,3.99,2.08
TRMT61B,tRNA methyltransferase 61 homolog B (S. cerevisiae),1.35,0.97,0.93,1.20,1.00
TRMU,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase,3.18,3.10,3.15,3.06,1.58
TRNAU1AP,tRNA selenocysteine 1 associated protein 1,0.93,0.84,0.88,0.90,0.61
TRNT1,"tRNA nucleotidyl transferase, CCA-adding, 1",1.91,1.53,1.43,1.76,1.81
TROVE2,"TROVE domain family, member 2",0.83,0.70,0.67,0.81,0.65
TRPT1,tRNA phosphotransferase 1,5.42,5.47,5.82,5.13,5.81
TRUB1,TruB pseudouridine (psi) synthase homolog 1 (E. coli),1.26,0.86,0.81,1.26,0.75
TRUB2,TruB pseudouridine (psi) synthase homolog 2 (E. coli),4.87,4.69,4.83,4.64,2.79
TSEN15,tRNA splicing endonuclease 15 homolog (S. cerevisiae),3.71,2.79,2.34,3.38,2.81
TSEN2,tRNA splicing endonuclease 2 homolog (S. cerevisiae),0.40,0.44,0.48,0.40,0.30
TSEN34,tRNA splicing endonuclease 34 homolog (S. cerevisiae),17.87,15.48,13.71,17.46,3.57
TSEN54,tRNA splicing endonuclease 54 homolog (S. cerevisiae),4.04,3.83,3.98,3.81,3.17
TSFM,"Ts translation elongation factor, mitochondrial",3.95,3.12,3.05,3.83,2.48
TSN,translin,11.97,9.27,9.38,11.33,10.33
TSNAX,translin-associated factor X,1.36,1.03,1.04,1.35,0.89
TSR1,"TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)",15.39,12.89,13.36,15.08,7.85
TSR2,"TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)",26.89,25.41,23.46,26.67,13.09
TSR3,"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)",14.43,16.18,16.56,14.03,7.81
TST,thiosulfate sulfurtransferase (rhodanese),1.13,1.53,1.90,1.19,1.59
TTF2,"transcription termination factor, RNA polymerase II",2.91,2.82,2.67,2.62,2.63
TUFM,"Tu translation elongation factor, mitochondrial",91.82,91.27,93.56,92.52,75.09
TUT1,"terminal uridylyl transferase 1, U6 snRNA-specific",2.72,3.12,3.59,2.92,2.04
TXNL4A,thioredoxin-like 4A,6.75,5.72,5.35,7.24,3.64
TXNL4B,thioredoxin-like 4B,2.75,2.06,1.98,2.57,1.59
TYW1,tRNA-yW synthesizing protein 1 homolog (S. cerevisiae),0.15,0.13,0.12,0.15,0.12
TYW3,tRNA-yW synthesizing protein 3 homolog (S. cerevisiae),1.67,1.40,1.26,1.54,1.03
TYW5,tRNA-yW synthesizing protein 5,0.85,0.70,0.67,0.75,0.74
U2AF1,U2 small nuclear RNA auxiliary factor 1,13.49,12.39,12.61,13.15,8.91
U2AF1L4,U2 small nuclear RNA auxiliary factor 1-like 4,3.39,4.61,5.05,3.29,5.85
U2AF2,U2 small nuclear RNA auxiliary factor 2,16.45,19.08,20.98,16.40,9.31
U2SURP,U2 snRNP-associated SURP domain containing,5.52,4.56,4.55,5.30,4.34
UBA1,ubiquitin-like modifier activating enzyme 1,43.58,42.34,44.69,42.70,26.67
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1,137.82,122.10,133.23,138.58,155.69
UBAP2,ubiquitin associated protein 2,0.95,1.25,1.11,0.99,0.76
UBAP2L,ubiquitin associated protein 2-like,8.00,9.69,9.59,8.35,4.85
UBTF,"upstream binding transcription factor, RNA polymerase I",12.41,14.61,14.19,12.70,8.17
UHMK1,U2AF homology motif (UHM) kinase 1,3.43,2.24,1.86,3.48,2.18
UNK,unkempt homolog (Drosophila),1.41,1.15,1.07,1.55,0.84
UNKL,unkempt homolog (Drosophila)-like,1.92,2.24,2.47,1.83,1.10
UPF1,UPF1 regulator of nonsense transcripts homolog (yeast),4.97,5.56,5.49,4.74,3.32
UPF2,UPF2 regulator of nonsense transcripts homolog (yeast),0.66,0.64,0.60,0.68,0.75
UPF3A,UPF3 regulator of nonsense transcripts homolog A (yeast),2.33,2.83,3.02,2.18,1.58
UPF3B,UPF3 regulator of nonsense transcripts homolog B (yeast),5.21,4.60,4.46,5.35,3.25
URB1,URB1 ribosome biogenesis 1 homolog (S. cerevisiae),1.27,1.16,1.23,1.30,1.04
URB2,URB2 ribosome biogenesis 2 homolog (S. cerevisiae),2.39,1.74,1.68,2.39,1.16
URM1,ubiquitin related modifier 1,1.09,1.22,1.18,1.05,0.73
USB1,U6 snRNA biogenesis 1,4.26,3.52,3.67,3.97,2.04
USP10,ubiquitin specific peptidase 10,2.07,1.82,1.87,2.00,1.62
USP39,ubiquitin specific peptidase 39,5.20,4.22,3.94,5.07,2.45
UTP11L,"UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)",6.63,5.48,5.10,6.16,3.64
UTP14A,"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)",5.74,6.13,5.87,5.59,4.12
UTP14C,"UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)",5.83,5.13,4.97,6.00,5.26
UTP15,"UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)",2.66,2.07,2.07,2.45,1.46
UTP18,UTP18 small subunit (SSU) processome component homolog (yeast),2.78,1.71,1.63,2.66,1.94
UTP20,"UTP20, small subunit (SSU) processome component, homolog (yeast)",1.03,0.87,0.95,0.95,0.41
UTP23,"UTP23, small subunit (SSU) processome component, homolog (yeast)",4.97,3.88,3.93,4.70,8.60
UTP3,"UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)",38.42,35.27,34.69,36.94,29.25
UTP6,"UTP6, small subunit (SSU) processome component, homolog (yeast)",2.26,1.88,2.05,2.21,1.73
VARS,valyl-tRNA synthetase,17.15,17.53,17.61,16.33,4.57
VARS2,"valyl-tRNA synthetase 2, mitochondrial",5.99,7.19,7.24,6.09,2.84
WARS,tryptophanyl-tRNA synthetase,6.40,4.59,4.57,5.55,5.85
WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial",0.25,0.20,0.18,0.25,0.21
WBP4,WW domain binding protein 4,0.91,0.92,0.70,0.75,0.97
WDR12,WD repeat domain 12,2.75,2.35,2.18,2.57,2.09
WDR3,WD repeat domain 3,4.89,4.24,3.78,4.95,3.23
WDR36,WD repeat domain 36,1.48,1.33,1.32,1.46,1.68
WDR4,WD repeat domain 4,2.78,2.78,2.93,2.81,1.36
WDR43,WD repeat domain 43,3.61,3.17,3.17,3.55,2.70
WDR46,WD repeat domain 46,9.74,9.68,10.53,9.40,6.22
WDR5,WD repeat domain 5,6.01,5.77,5.88,6.16,3.53
WDR61,WD repeat domain 61,4.18,3.40,3.47,8.06,6.17
WDR83,WD repeat domain 83,2.93,4.69,4.93,2.82,1.93
WIBG,within bgcn homolog (Drosophila),1.04,1.00,1.12,1.05,0.61
WRAP53,"WD repeat containing, antisense to TP53",2.61,2.50,2.66,2.50,1.69
XAB2,XPA binding protein 2,5.72,6.91,7.93,5.83,5.59
XPO1,"exportin 1 (CRM1 homolog, yeast)",11.21,8.07,8.44,11.24,6.32
XPO4,exportin 4,0.92,0.73,0.70,0.88,0.74
XPO5,exportin 5,3.65,2.99,3.03,3.77,2.37
XPO6,exportin 6,2.11,2.02,2.25,2.23,1.22
XPO7,exportin 7,2.45,1.99,1.85,2.51,3.30
XPOT,"exportin, tRNA",7.31,5.21,4.71,6.61,5.87
XRCC6,X-ray repair complementing defective repair in Chinese hamster cells 6,17.97,14.48,15.12,18.31,9.10
XRN1,5'-3' exoribonuclease 1,0.26,0.21,0.18,0.25,0.49
XRN2,5'-3' exoribonuclease 2,2.86,2.40,2.31,2.77,1.87
YARS,tyrosyl-tRNA synthetase,9.43,6.38,6.63,8.97,9.72
YARS2,"tyrosyl-tRNA synthetase 2, mitochondrial",4.84,3.31,3.24,4.43,2.36
YBX1,Y box binding protein 1,44.30,47.30,51.57,44.66,32.76
YBX2,Y box binding protein 2,0.56,0.75,1.72,0.51,2.05
YBX3,cold shock domain protein A,11.23,10.58,10.48,10.84,8.86
YRDC,yrdC domain containing (E. coli),7.74,5.57,5.89,7.60,4.20
YTHDC1,YTH domain-containing protein 1 ,3.25,3.05,2.96,3.17,2.64
YTHDC2,YTH domain containing 2,1.08,0.90,0.78,1.04,0.80
YTHDF1,"YTH domain family, member 1",4.88,5.45,5.74,5.03,3.07
YTHDF2,"YTH domain family, member 2",4.39,3.47,3.21,4.44,2.76
YTHDF3,"YTH domain family, member 3",2.48,2.09,1.91,2.54,2.82
ZC3H10,zinc finger CCCH-type containing 10,1.76,1.45,1.51,1.69,1.47
ZC3H11A,zinc finger CCCH-type containing 11A,2.06,1.84,1.69,2.18,2.85
ZC3H12A,zinc finger CCCH-type containing 12A,0.78,0.85,0.84,0.84,0.50
ZC3H12B,zinc finger CCCH-type containing 12B,0.33,0.35,0.27,0.30,0.39
ZC3H12C,zinc finger CCCH-type containing 12C,0.12,0.10,0.10,0.12,0.27
ZC3H12D,zinc finger CCCH-type containing 12D,0.00,0.00,0.00,0.00,0.10
ZC3H13,zinc finger CCCH-type containing 13,1.48,1.59,1.39,1.45,1.19
ZC3H14,zinc finger CCCH-type containing 14,1.62,1.57,1.65,1.56,1.33
ZC3H15,zinc finger CCCH-type containing 15,7.99,5.48,5.58,7.65,5.40
ZC3H18,zinc finger CCCH-type containing 18,1.65,2.24,2.46,1.53,1.01
ZC3H3,zinc finger CCCH-type containing 3,0.18,0.25,0.25,0.18,0.40
ZC3H4,zinc finger CCCH-type containing 4,0.79,1.05,1.17,0.80,1.21
ZC3H6,zinc finger CCCH-type containing 6,0.08,0.09,0.09,0.09,0.10
ZC3H7A,zinc finger CCCH-type containing 7A,1.68,1.43,1.39,1.66,1.60
ZC3H7B,zinc finger CCCH-type containing 7B,2.32,2.80,2.94,2.47,1.99
ZC3H8,zinc finger CCCH-type containing 8,0.48,0.46,0.57,0.50,0.60
ZC3HAV1,"zinc finger CCCH-type, antiviral 1",1.38,1.31,1.03,1.35,1.44
ZC3HAV1L,"zinc finger CCCH-type, antiviral 1-like",0.98,0.85,0.73,0.97,0.98
ZC3HC1,"zinc finger, C3HC-type containing 1",1.40,1.25,1.18,1.36,0.82
ZCCHC11,"zinc finger, CCHC domain containing 11",0.57,0.61,0.63,0.58,0.77
ZCCHC14,"zinc finger, CCHC domain containing 14",0.83,0.80,0.64,0.71,0.16
ZCCHC17,"zinc finger, CCHC domain containing 17",0.85,0.75,0.73,0.83,0.55
ZCCHC2,"zinc finger, CCHC domain containing 2",0.89,0.85,0.73,0.79,0.40
ZCCHC24,"zinc finger, CCHC domain containing 24",0.05,0.05,0.05,0.04,0.02
ZCCHC3,"zinc finger, CCHC domain containing 3",12.63,12.57,14.55,12.64,21.24
ZCCHC5,"zinc finger, CCHC domain containing 5",0.00,0.00,0.00,0.00,0.01
ZCCHC6,"zinc finger, CCHC domain containing 6",0.58,0.53,0.44,0.55,0.81
ZCCHC7,"zinc finger, CCHC domain containing 7",0.13,0.09,0.09,0.11,0.26
ZCCHC8,"zinc finger, CCHC domain containing 8",2.12,1.90,1.84,2.12,1.67
ZCCHC9,"zinc finger, CCHC domain containing 9",2.73,2.32,2.48,2.49,2.26
ZCRB1,zinc finger CCHC-type and RNA binding motif 1,3.63,3.76,3.53,3.58,3.46
ZFC3H1,"zinc finger, C3H1-type containing",1.24,1.18,1.13,1.27,2.61
ZFP36,ZFP36 ring finger protein,1.53,1.64,1.85,1.34,5.91
ZFP36L1,ZFP36 ring finger protein-like 1,2.38,3.44,3.81,2.12,2.66
ZFP36L2,ZFP36 ring finger protein-like 2,9.61,7.75,8.16,8.74,66.57
ZFR,zinc finger RNA binding protein,2.46,2.47,2.66,2.51,1.60
ZFR2,zinc finger RNA binding protein 2,0.04,0.03,0.04,0.01,0.00
ZGPAT,"zinc finger, CCCH-type with G patch domain",0.75,1.16,1.39,0.82,0.50
ZMAT2,"zinc finger, matrin-type 2",14.91,14.77,14.20,15.31,11.22
ZMAT3,"zinc finger, matrin-type 3",0.33,0.29,0.23,0.28,0.92
ZMAT5,"zinc finger, matrin-type 5",0.32,0.44,0.51,0.37,0.31
ZNF106,zinc finger protein 106,2.45,1.88,1.66,2.35,1.92
ZNF326,zinc finger protein 326,2.69,2.40,2.52,2.66,1.19
ZNF346,zinc finger protein 346,0.76,0.72,0.67,0.68,0.54
ZNF385A,zinc finger protein 385A,0.38,0.25,0.20,0.41,1.87
ZNF473,zinc finger protein 473,0.93,0.90,0.88,0.97,1.45
ZNF579,zinc finger protein 579,1.70,2.24,3.09,1.76,1.46
ZNF598,zinc finger protein 598,6.85,9.00,9.60,7.27,4.41
ZNF622,zinc finger protein 622,2.56,2.23,2.07,2.34,1.56
ZNF638,zinc finger protein 638,1.53,1.42,1.35,1.61,1.35
ZNF768,zinc finger protein 768,14.96,16.57,21.46,14.79,14.33
ZNFX1,"zinc finger, NFX1-type containing 1",1.11,1.11,1.12,1.24,1.06
ZNHIT6,"zinc finger, HIT-type containing 6",0.86,0.77,0.86,0.77,0.71
ZRANB2,"zinc finger, RAN-binding domain containing 2",10.85,8.69,9.86,10.67,16.85
ZRSR1,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 1",3.47,4.21,4.71,3.22,2.17
ZRSR2,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2",0.53,0.71,0.77,0.53,0.57
